COUNT    | LINE
-----------------------------------------------------
     113 | Bv
      84 | Tha-ap
      45 | Dhp
      12 | Nd
      10 | Pts
       8 | Cp
       8 | Mpt
       7 | DN
       7 | Kv
       4 | Mbh
       4 | SN
       3 | DhS
       3 | Kh
       3 | Thag
       2 | Ap
       2 | It
       1 | Vin
-----------------------------------------------------
     316 | TOTAL LINES
      17 | DISTINCT LINES





COUNT    | LINE
-----------------------------------------------------
     113 | Bv
      84 | Tha-ap
      45 | Dhp
      12 | Nd
      10 | Pts
       8 | Cp
       8 | Mpt
       7 | DN
       7 | Kv
       5 | Kh
       5 | SN
       4 | Mbh
       3 | DhS
       3 | Thag
       2 | Ap
       2 | It
       1 | Vin
-----------------------------------------------------
     319 | TOTAL LINES
      17 | DISTINCT LINES









COUNT    | LINE
-----------------------------------------------------
     121 | Bv
      84 | Tha-ap
      45 | Dhp
      12 | Nd
      10 | Pts
       8 | Cp
       8 | Mpt
       7 | DN
       7 | Kv
       5 | Kh
       5 | Kp
       5 | SN
       4 | Mbh
       3 | DhS
       3 | Thag
       2 | Ap
       2 | It
       1 | 
       1 | Vin
-----------------------------------------------------
     333 | TOTAL LINES
      19 | DISTINCT LINES







COUNT    | LINE
-----------------------------------------------------
     121 | Bv
      84 | Kp
      84 | Tha-ap
      45 | Dhp
      12 | Nd
      10 | Pts
       8 | Cp
       8 | Mpt
       7 | DN
       7 | Kv
       5 | Kh
       5 | SN
       4 | Mbh
       3 | DhS
       3 | Thag
       2 | Ap
       2 | It
       1 | Vin
-----------------------------------------------------
     411 | TOTAL LINES
      18 | DISTINCT LINES





COUNT    | LINE
-----------------------------------------------------
    2296 | Pv
     121 | Bv
      84 | Kp
      84 | Tha-ap
      45 | Dhp
      12 | Nd
      10 | Pts
       8 | Cp
       8 | Mpt
       7 | DN
       7 | Kv
       5 | Kh
       5 | SN
       4 | Mbh
       3 | DhS
       3 | Thag
       2 | Ap
       2 | It
       1 | Vin
-----------------------------------------------------
    2707 | TOTAL LINES
      19 | DISTINCT LINES




COUNT    | LINE
-----------------------------------------------------
    2297 | Pv
    1415 | Cnd
     121 | Bv
      84 | Kp
      84 | Tha-ap
      45 | Dhp
      12 | Nd
      10 | Pts
       8 | Cp
       8 | Mpt
       7 | DN
       7 | Kv
       5 | Kh
       5 | SN
       4 | Mbh
       3 | DhS
       3 | Thag
       2 | Ap
       2 | It
       1 | Vin
-----------------------------------------------------
    4123 | TOTAL LINES
      20 | DISTINCT LINES












COUNT    | LINE
-----------------------------------------------------
    2297 | Pv
    1415 | Cnd
     121 | Bv
      97 | Tikp
      85 | Cp
      84 | Kp
      84 | Tha-ap
      45 | Dhp
      13 | Duka-pa
      12 | Nd
      10 | Pts
       8 | Mpt
       7 | DN
       7 | Kv
       5 | Kh
       5 | SN
       4 | Mbh
       3 | DhS
       3 | Thag
       2 | Ap
       2 | It
       2 | Vv
       1 | Vin
-----------------------------------------------------
    4312 | TOTAL LINES
      23 | DISTINCT LINES




COUNT    | LINE
-----------------------------------------------------
    2297 | Pv
    1415 | Cnd
     121 | Bv
      97 | Tikp
      86 | Cp
      84 | Kp
      84 | Tha-ap
      45 | Dhp
      12 | Nd
      10 | Pts
       8 | Mpt
       7 | DN
       7 | Kv
       6 | SN
       5 | Kh
       4 | Mbh
       3 | DhS
       3 | Thag
       2 | Ap
       2 | It
       2 | Vv
       1 | Vin
-----------------------------------------------------
    4301 | TOTAL LINES
      22 | DISTINCT LINES









COUNT    | LINE
-----------------------------------------------------
    2297 | Pv
    1415 | Cnd
     121 | Bv
      97 | Tikp
      86 | Cp
      84 | Kp
      84 | Tha-ap
      45 | Dhp
      12 | Nd
      10 | Pts
       8 | Mpt
       7 | DN
       7 | Kv
       6 | SN
       5 | Kh
       4 | Mbh
       3 | DhS
       3 | Sāsv
       3 | Thag
       2 | Ap
       2 | It
       2 | Vv
       1 | Vin
-----------------------------------------------------
    4304 | TOTAL LINES
      23 | DISTINCT LINES











COUNT    | LINE
-----------------------------------------------------
    2297 | Pv
    1415 | Cnd
     121 | Bv
      97 | Tikp
      86 | Cp
      84 | Kp
      84 | Tha-ap
      45 | Dhp
      12 | Nd
      10 | Pts
       8 | Mpt
       7 | DN
       7 | Kv
       6 | SN
       5 | Kh
       4 | Mbh
       3 | DhS
       3 | Sāsv
       3 | Thag
       2 | Ap
       2 | It
       2 | Vv
       1 | Mnd
       1 | Vin
-----------------------------------------------------
    4305 | TOTAL LINES
      24 | DISTINCT LINES



COUNT    | LINE
-----------------------------------------------------
    2297 | Pv
    1415 | Cnd
     121 | Bv
      97 | Tikp
      86 | Cp
      84 | Kp
      84 | Tha-ap
      45 | Dhp
      12 | Nd
      10 | Pts
       8 | Mpt
       7 | DN
       7 | Kv
       6 | SN
       5 | Kh
       4 | Mbh
       3 | DhS
       3 | Sāsv
       3 | Thag
       2 | Ap
       2 | It
       2 | nd
       2 | Vv
       1 | Dhs
       1 | Mnd
       1 | Vin
       1 | VV
-----------------------------------------------------
    4309 | TOTAL LINES
      27 | DISTINCT LINES











COUNT    | LINE
-----------------------------------------------------
    2297 | Pv
    1415 | Cnd
     121 | Bv
      97 | Tikp
      86 | Cp
      84 | Kp
      84 | Tha-ap
      45 | Dhp
      40 | Vv
      12 | Nd
      10 | Pts
       8 | Mpt
       7 | DN
       7 | Kv
       6 | SN
       5 | Kh
       4 | Mbh
       3 | DhS
       3 | Sāsv
       3 | Thag
       2 | Ap
       2 | It
       2 | nd
       1 | Dhs
       1 | Mnd
       1 | Vin
-----------------------------------------------------
    4346 | TOTAL LINES
      26 | DISTINCT LINES







COUNT    | LINE
-----------------------------------------------------
    2297 | Pv
    1415 | Cnd
     121 | Bv
      97 | Tikp
      86 | Cp
      84 | Kp
      84 | Tha-ap
      45 | Dhp
      40 | Vv
      12 | Nd
      10 | Pts
       8 | Mpt
       7 | DN
       7 | Kv
       6 | SN
       5 | Kh
       5 | Thag
       4 | Mbh
       3 | DhS
       3 | Sāsv
       2 | Ap
       2 | It
       2 | Ja
       2 | nd
       1 | Dhs
       1 | Mnd
       1 | Vin
-----------------------------------------------------
    4350 | TOTAL LINES
      27 | DISTINCT LINES







COUNT    | LINE
-----------------------------------------------------
    2297 | Pv
    1415 | Cnd
     178 | Kp
     121 | Bv
      95 | Tikp
      86 | Cp
      84 | Tha-ap
      45 | Dhp
      40 | Vv
      12 | Nd
      10 | Pts
       9 | Vin
       8 | Mpt
       7 | DN
       7 | Kv
       6 | SN
       5 | Thag
       4 | Kh
       4 | Mbh
       3 | DhS
       3 | Sāsv
       2 | Ap
       2 | It
       2 | Ja
       2 | nd
       1 | Dhs
       1 | Mnd
-----------------------------------------------------
    4449 | TOTAL LINES
      27 | DISTINCT LINES








COUNT    | LINE
-----------------------------------------------------
    2297 | Pv
    1415 | Cnd
     378 | Snp
     178 | Kp
     121 | Bv
      95 | Tikp
      86 | Cp
      84 | Tha-ap
      45 | Dhp
      40 | Vv
      13 | Dhs
      12 | Nd
      10 | Pts
       9 | Vin
       8 | Mpt
       7 | DN
       7 | Kv
       6 | SN
       5 | Thag
